Adjusted Average Daily Traffic Amount,At Intersection Flag,Construction Zone Flag,Crash Month,Day of Week_0,Day of Week_1,Day of Week_2,Hour of Day,Latitude,Light Condition_0,Light Condition_1,Light Condition_2,Longitude,Percentage of Single Unit Truck Average Daily Traffic,Road Class_0,Road Class_1,Road Class_2,Rural Flag,Speed Limit,Weather Condition_0,Weather Condition_1,Weather Condition_2,Weather Condition_3,crash_count_7d,crash_count_30d,road_curvature,number_of_lanes,label
229166,False,False,1,0,1,1,0,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,1,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,2,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,3,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,4,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,5,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,6,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,7,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,8,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,9,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,10,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,1
229166,False,False,1,0,1,1,11,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,12,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,13,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,14,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,15,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,16,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,17,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,18,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,19,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,20,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,21,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,22,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,1,1,23,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,5,1,0,1,0,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,1,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,2,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,3,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,4,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,5,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,6,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,7,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,8,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,9,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,10,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,11,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,1
229166,False,False,5,1,0,1,12,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,13,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,14,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,15,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,16,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,17,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,18,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,19,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,20,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,21,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,22,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,5,1,0,1,23,32.89094759,0,1,0,-96.89806511,4.3,0,1,0,False,60,0,0,0,1,0,0,3.151484722990631,2,0
229166,False,False,11,1,0,1,0,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,1,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,2,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,3,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,4,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,5,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,6,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,7,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,8,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,1
229166,False,False,11,1,0,1,9,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,10,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,11,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,12,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,13,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,14,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,15,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,16,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,17,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,18,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,19,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,20,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,21,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,22,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,11,1,0,1,23,32.89157231,0,1,0,-96.89806125,4.3,1,0,1,False,75,0,0,1,0,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,0,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,1,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,2,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,3,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,4,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,5,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,6,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,7,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,8,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,1
229166,False,False,1,0,0,1,9,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,10,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,11,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,12,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,13,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,14,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,15,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,16,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,17,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,18,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,19,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,20,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,21,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,22,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,1,0,0,1,23,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,0,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,1,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,2,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,3,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,4,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,5,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,1
229166,False,False,2,1,0,1,6,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,7,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,8,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,9,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,10,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,11,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,12,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,13,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,14,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,15,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,16,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,17,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,18,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,19,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,20,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,21,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,22,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,2,1,0,1,23,32.89238653,0,0,1,-96.89805622,4.3,0,1,0,False,60,0,0,0,1,0,0,2.939213085344875,2,0
229166,False,False,4,1,1,0,0,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,1
229166,False,False,4,1,1,0,1,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,2,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,3,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,4,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,5,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,6,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,7,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,8,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,9,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,10,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,11,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,12,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,13,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,14,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,15,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,16,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,17,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,18,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,19,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,20,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,21,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,22,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,4,1,1,0,23,32.89267431,0,0,1,-96.89805445,4.3,0,1,0,False,60,0,0,0,1,0,0,4.260366506666969,1,0
229166,False,False,11,1,0,0,0,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,2,2.939213085344875,2,0
229166,False,False,11,1,0,0,1,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,2,2.939213085344875,2,0
229166,False,False,11,1,0,0,2,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,2,2.939213085344875,2,0
229166,False,False,11,1,0,0,3,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,2,2.939213085344875,2,0
229166,False,False,11,1,0,0,4,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,2,2.939213085344875,2,0
229166,False,False,11,1,0,0,5,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,2,2.939213085344875,2,0
229166,False,False,11,1,0,0,6,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,2,2.939213085344875,2,0
229166,False,False,11,1,0,0,7,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,2,2.939213085344875,2,0
229166,False,False,11,1,0,0,8,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,2,2.939213085344875,2,1
229166,False,False,11,1,0,0,9,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,2,2.939213085344875,2,0
229166,False,False,11,1,0,0,10,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,2,2.939213085344875,2,0
229166,False,False,11,1,0,0,11,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,2,2.939213085344875,2,0
229166,False,False,11,1,0,0,12,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,2,2.939213085344875,2,0
229166,False,False,11,1,0,0,13,32.89166705,0,1,0,-96.89806067,4.3,0,1,0,False,60,0,0,0,1,0,2,2.939213085344875,2,0
