Adjusted Average Daily Traffic Amount,At Intersection Flag,Construction Zone Flag,Crash Month,Day of Week_0,Day of Week_1,Day of Week_2,Hour of Day,Latitude,Light Condition_0,Light Condition_1,Light Condition_2,Longitude,Percentage of Single Unit Truck Average Daily Traffic,Road Class_0,Road Class_1,Road Class_2,Rural Flag,Speed Limit,Weather Condition_0,Weather Condition_1,Weather Condition_2,Weather Condition_3,crash_count_7d,crash_count_30d,road_curvature,number_of_lanes,label
13030,True,False,5,0,1,0,0,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,1,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,2,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,3,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,4,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,5,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,6,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,7,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,8,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,9,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,10,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,11,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,12,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,13,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,14,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,15,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,16,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,1
13030,True,False,5,0,1,0,17,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,18,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,19,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,20,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,21,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
13030,True,False,5,0,1,0,22,32.84338228,0,1,0,-96.89856392,4.0,0,1,1,False,35,0,0,1,1,0,0,179.9998319861885,,0
