Adjusted Average Daily Traffic Amount,At Intersection Flag,Construction Zone Flag,Crash Month,Day of Week_0,Day of Week_1,Day of Week_2,Hour of Day,Latitude,Light Condition_0,Light Condition_1,Light Condition_2,Longitude,Percentage of Single Unit Truck Average Daily Traffic,Road Class_0,Road Class_1,Road Class_2,Rural Flag,Speed Limit,Weather Condition_0,Weather Condition_1,Weather Condition_2,Weather Condition_3,crash_count_7d,crash_count_30d,road_curvature,number_of_lanes,label
160381,False,False,9,0,1,0,5,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,6,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,7,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,8,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,9,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,10,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,11,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,12,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,13,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,14,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,15,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,16,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,1
160381,False,False,9,0,1,0,17,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,18,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,19,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,20,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,21,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,22,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
160381,False,False,9,0,1,0,23,32.96957641,0,1,0,-97.03150705,3.1,0,1,1,False,65,0,0,0,1,0,0,0,0,0
